Fecha_facturacion,SKU,Categoria,Unidades_facturadas,Precio_unitario,Monto_facturado
2024-10-02,HJ1181,"Pulverizadores",41,4005.58,164228.78
2024-10-02,HJ1182,"Pulverizadores",4,7349.02,29396.08
2024-10-02,HJ1184,"Pulverizadores",18,7259.25,130666.50
2024-10-02,HJ1190,"Pulverizadores",73,4053.38,295896.74
2024-10-02,HJ1142,"Rastrillos",2,8576.12,17152.24
2024-10-02,HJ1143,"Rastrillos",2,8252.38,16504.76
2024-10-02,HJ1160,"Pulverizadores",77,3307.72,254694.44
2024-10-02,HJ1162,"Pulverizadores",1,6737.14,6737.14
2024-10-02,HJ1163,"Pulverizadores",3,5045.51,15136.53
2024-10-02,HJ1164,"Pulverizadores",26,7720.07,200721.82
2024-10-02,HJ1164,"Pulverizadores",6,7720.07,46320.42
2024-10-02,HJ1168,"Pulverizadores",13,6900.51,89706.63
2024-10-02,HJ1171,"Pulverizadores",1,2191.13,2191.13
2024-10-02,HJ1179,"Pulverizadores",79,7432.89,587198.31
2024-10-02,HJ1179,"Pulverizadores",6,7432.89,44597.34
2024-10-02,HJ1179,"Pulverizadores",18,7432.89,133792.02
2024-10-02,HJ1005,"Palas",22,9981.47,219592.34
2024-10-02,HJ1016,"Palas",51,7057.81,359948.31
2024-10-02,HJ1016,"Palas",1,7057.81,7057.81
2024-10-02,HJ1018,"Palas",93,2130.31,198118.83
2024-10-02,HJ1022,"Palas",17,2797.22,47552.74
2024-10-02,HJ1022,"Palas",31,2797.22,86713.82
2024-10-02,HJ1031,"Palas",30,1955.55,58666.50
2024-10-02,HJ1031,"Palas",69,1955.55,134932.95
2024-10-02,HJ1039,"Palas",40,2219.93,88797.20
2024-10-02,HJ1045,"Palas",51,5201.88,265295.88
2024-10-02,HJ1045,"Palas",4,5201.88,20807.52
2024-10-02,HJ1048,"Palas",17,6473.86,110055.62
2024-10-02,HJ1056,"Tijeras de Podar",25,6113.22,152830.50
2024-10-02,HJ1056,"Tijeras de Podar",2,6113.22,12226.44
2024-10-02,HJ1096,"Tijeras de Podar",37,4150.19,153557.03
2024-10-02,HJ1108,"Rastrillos",24,4592.39,110217.36
2024-10-02,HJ1116,"Rastrillos",3,5095.16,15285.48
2024-10-02,HJ1120,"Rastrillos",61,5832.14,355760.54
2024-10-02,HJ1132,"Rastrillos",11,1870.69,20577.59
2024-10-02,HJ1139,"Rastrillos",3,8974.25,26922.75
2024-10-02,HJ1139,"Rastrillos",18,8974.25,161536.50
2024-10-02,HJ1069,"Tijeras de Podar",2,4900.83,9801.66
2024-10-02,HJ1076,"Tijeras de Podar",4,6518.81,26075.24
2024-10-02,HJ1088,"Tijeras de Podar",17,6106.99,103818.83
2024-10-02,HJ1093,"Tijeras de Podar",1,4362.06,4362.06
2024-10-02,HJ1093,"Tijeras de Podar",7,4362.06,30534.42
2024-10-03,HJ1059,"Tijeras de Podar",2,3708.34,7416.68
2024-10-03,HJ1060,"Tijeras de Podar",37,7191.95,266102.15
2024-10-03,HJ1076,"Tijeras de Podar",16,6518.81,104300.96
2024-10-03,HJ1077,"Tijeras de Podar",50,9062.97,453148.50
2024-10-03,HJ1078,"Tijeras de Podar",60,1372.40,82344.00
2024-10-03,HJ1082,"Tijeras de Podar",1,8104.94,8104.94
2024-10-03,HJ1086,"Tijeras de Podar",23,2517.24,57896.52
2024-10-03,HJ1088,"Tijeras de Podar",18,6106.99,109925.82
2024-10-03,HJ1090,"Tijeras de Podar",11,2497.50,27472.50
2024-10-03,HJ1096,"Tijeras de Podar",3,4150.19,12450.57
2024-10-03,HJ1096,"Tijeras de Podar",13,4150.19,53952.47
2024-10-03,HJ1017,"Palas",40,9655.22,386208.80
2024-10-03,HJ1017,"Palas",11,9655.22,106207.42
2024-10-03,HJ1018,"Palas",23,2130.31,48997.13
2024-10-03,HJ1022,"Palas",80,2797.22,223777.60
2024-10-03,HJ1023,"Palas",34,10052.79,341794.86
2024-10-03,HJ1024,"Palas",6,1759.55,10557.30
2024-10-03,HJ1024,"Palas",87,1759.55,153080.85
2024-10-03,HJ1024,"Palas",28,1759.55,49267.40
2024-10-03,HJ1025,"Palas",8,3817.09,30536.72
2024-10-03,HJ1030,"Palas",77,4736.49,364709.73
2024-10-03,HJ1034,"Palas",14,2381.03,33334.42
2024-10-03,HJ1035,"Palas",76,7918.56,601810.56
2024-10-03,HJ1035,"Palas",2,7918.56,15837.12
2024-10-03,HJ1045,"Palas",3,5201.88,15605.64
2024-10-03,HJ1045,"Palas",2,5201.88,10403.76
2024-10-03,HJ1045,"Palas",8,5201.88,41615.04
2024-10-03,HJ1045,"Palas",2,5201.88,10403.76
2024-10-03,HJ1048,"Palas",4,6473.86,25895.44
2024-10-03,HJ1050,"Tijeras de Podar",15,5006.87,75103.05
2024-10-03,HJ1051,"Tijeras de Podar",1,8659.77,8659.77
2024-10-03,HJ1051,"Tijeras de Podar",11,8659.77,95257.47
